velocity,CO2,NOx
34.35154928,0.504179985,0
34.7521612,0.55040362,0
35.07543099,0.564944925,0
35.30508401,0.604702112,0
35.61362375,0.723115813,0
36.23838848,1.396204056,0
36.99101449,1.578560347,0
37.42511748,1.685475142,0
37.41916518,0.878626473,0
36.64517873,0.269106334,0
34.61687839,0.184304154,0
31.60965189,0.100191166,0
28.16425374,0.085746162,0
24.37539322,0.080746368,0
20.29294903,0.039085799,0
16.25834923,0.023491127,0
12.56611929,0.015899926,0
9.123320561,0.02767698,0
5.763853936,0.06811146,0
2.79686192,0.145272663,0
0.814635338,0,0
0.334835317,0.5627045,0
2.400092618,0.802977516,0
6.746132969,1.544225867,0
12.10557004,2.56688903,0
16.54394627,2.682180465,0
19.59517454,1.157893387,0.235298921
22.26560674,2.267974773,0
25.21413911,3.376007784,0
27.87149888,3.222388909,0
29.56982369,1.901527848,0
30.49273048,1.075715367,0
31.2989648,0.452213763,0
32.30275496,0.728065786,0
33.11686288,1.012350562,0
33.38588392,0.930393633,0
32.6765439,0.59073452,0
30.1726252,0.33566159,0
26.19954498,0.11523226,0
21.65319867,0.160964675,0
16.59318455,0.122301257,0
11.31142867,0.059446323,0
6.735509256,0.03274842,0
3.382710706,0.059039847,0
1.210651185,0,0
0,0.560023693,0
1.080002122,0.362202423,0
4.948163761,1.21590648,0
10.97892906,2.828479891,0
16.74089936,2.487115931,1.6674098
20.85924567,1.160022634,0.907608526
24.43725186,3.275567731,0
28.79161789,4.450203597,0
33.61862611,6.18380432,1.270155344
37.69696397,2.378750842,1.928876994
40.74932242,2.005176749,0
43.61742349,5.356176925,0.227791255
46.46868485,4.344174882,0.605146991
48.42830778,3.504428027,0.688126752
49.1166641,0.739801942,0.248116191
49.13022628,1.105477553,0
49.0832107,1.392106855,0
49.1082254,1.789017596,0
49.17565961,1.883129006,0
49.24000465,1.921717469,0
49.18869438,1.871056123,0
48.87631201,1.36729344,0
48.29792243,1.22368939,0
47.70879611,1.207415288,0
47.36518305,1.18832899,0
47.27220673,1.054870098,0
47.29805023,1.028130413,0
47.35327846,0.958785971,0
47.37897127,0.695947352,0
47.25532934,0.327613651,0
46.76859753,0.152259735,0
45.83777946,0.163925627,0
44.63707388,0.098203032,0
43.23203136,0.047091872,0
41.48729373,0.016895237,0
39.3608559,0.004099837,0
36.96814714,0,0
34.53429974,0,0
32.26798303,0,0
30.15152847,0,0
27.99924714,0.049470644,0
25.90072481,0.043365582,0
24.50235036,0.058757371,0
24.09232025,0.11984822,0
24.30404105,0.447377457,0
25.07331841,0.909075585,0
26.47998086,1.163171251,0
28.35401133,1.995795946,0
30.22608282,2.953222567,0
31.509028,1.123631855,0
32.10357919,0.505869965,0
32.48799183,0.381750422,0
33.15547744,0.859357846,0
34.26019288,1.158533233,0
35.78122978,1.755941253,0
37.44998149,1.893133121,0
38.79455926,1.916582027,0
39.57204928,1.33466742,0
39.86612269,1.159870844,0
39.90281594,0.958671946,0
39.79367801,0.802311358,0
39.45063004,0.641485474,0
38.85570212,0.572909075,0
38.12353241,0.561180365,0
37.40236314,0.541933028,0
36.86488615,0.582692603,0
36.60618745,0.653223699,0
36.56165827,0.993593557,0
36.58445028,1.156396865,0
36.57450467,1.182792989,0
36.48744297,0.973591695,0
36.37239042,0.89562575,0
36.34741339,1.039567106,0
36.62935618,1.133325541,0
37.42636068,1.241282175,0
38.58317752,1.664383809,0
